start_date;maxtemperature;maxrh;meantemperature;meanrh;mintemperature;minrh;location
01/06/2021;26,1;99;21,76666667;82;17,4;65;1
02/06/2021;25;97;21,36666667;84;17,7;71;1
03/06/2021;25,4;90;21,5;78;17,6;66;1
04/06/2021;23,5;91;20,63333333;80;17,8;69;1
05/06/2021;25,8;75;21,26666667;65;16,7;55;1
06/06/2021;27,1;80;22,66666667;66;18,2;52;1
07/06/2021;27,7;88;22,2;73;16,7;58;1
08/06/2021;26,4;86;22,93333333;67,5;20,4;49;1
09/06/2021;28,8;77;23,53333333;59,5;18,3;42;1
10/06/2021;29,3;67;24,76666667;52,5;20,2;38;1
11/06/2021;31,6;59;26,1;48,5;20,6;38;1
12/06/2021;31,8;59;26,83333333;50;21,9;41;1
13/06/2021;32,9;74;28,06666667;57,5;23,2;41;1
14/06/2021;32,1;83;27,5;63,5;22,9;44;1
15/06/2021;32,5;66;27,56666667;51;22,6;36;1
16/06/2021;28,4;89;25,33333333;68,5;22,3;48;1
17/06/2021;26,7;94;24,4;79;22,1;64;1
18/06/2021;30,4;94;25,43333333;77,5;20,5;61;1
19/06/2021;30,6;89;25,66666667;77;20,7;65;1
20/06/2021;29,6;91;25,6;66,5;21,6;42;1
21/06/2021;28,2;89;24,56666667;69,5;20,9;50;1
22/06/2021;28,6;87;25,93333333;71,5;22,6;56;1
23/06/2021;27,5;80;22,76666667;66;18;52;1
24/06/2021;26,8;81;22,03333333;67,5;17,3;54;1
25/06/2021;28,9;83;23,56666667;67,5;18,2;52;1
26/06/2021;28,6;87;24,06666667;73,5;19,5;60;1
27/06/2021;29;92;24,86666667;77,5;20,7;63;1
28/06/2021;28,7;84;24;72;19,3;60;1
29/06/2021;27,6;78;23,66666667;65;19,7;52;1
30/06/2021;29,5;81;24,56666667;64,5;19,6;48;1
01/07/2021;29,4;88;24,9;74,5;20,4;61;1
02/07/2021;30,7;91;25,2;73,5;19,7;56;1
03/07/2021;30;93;25,4;77;20,8;61;1
04/07/2021;28,6;88;25,06666667;73,5;21,5;59;1
05/07/2021;30,3;92;25,7;72;21,1;52;1
